Country_Region,Count
Afghanistan,58
Africa,6
Algeria,78
Angola,49
Arabia,14
Argentina,25
Armenia,15
Australia,80
Austria,105
Azerbaijan,10
Balkans,2
Bangladesh,6
Belgium,50
Belize,1
Benin,119
Bermuda,2
Bhutan,2
Black Sea,2
Bolivia,217
Borneo,26
Bosnia,5
Brazil,40
Brussels,1
Bulgaria,10
Burkina Faso,112
Burundi,4
Cambodia,5
Cameroon,213
Canada,382
Central African Republic,5
Central Asia,36
Central Europe,3
Chad,3
Chile,63
China,878
Colombia,353
Congo,10
Cook Islands,5
Costa Rica,235
Cote d'Ivoire,331
Croatia,22
Cuba,8
Cyprus,4
Czech Republic,101
Democratic Republic of Congo,465
Denmark,4
Dominican Republic,42
Ecuador,217
Egypt,28918
El Salvador,2
England,1325
Equatorial Guinea,1
Ethiopia,42
Europe,2
Federated States of Micronesia,3
Fiji,46
Finland,8
France,1999
French Guiana,2
French Polynesia,19
Gabon,67
Gambia,4
Georgia,9
Germany,788
Ghana,146
Greece,32
Greenland,3
Guatemala,120
Guinea,24
Guinea Bissau,8
Guyana,22
Honduras,4
Hungary,15
India,731
Indonesia,1262
Iran,3871
Iraq,199
Ireland,27
Israel,1
Italy,1905
Japan,227
Kenya,26
Kiribati,5
Korea,34
Kuwait,1
Kyrgyzstan,1
Laos,2
Lebanon,1
Lesotho,1
Levant,7
Liberia,70
Macedonia,5
Madagascar,30
Malawi,3
Malaysia,56
Mali,363
Malta,1
Marshall Islands,9
Mauritania,3
Mexico,1442
Mongolia,6
Montenegro,2
Morocco,122
Mozambique,11
Myanmar,61
Namibia,1
Nauru,16
Nepal,17
Netherlands,153
New Caledonia,21
New Guinea,11
New Zealand,23
Nicaragua,6
Niger,16
Nigeria,605
Norfolk Island,7
North Africa,5
Northern Europe,2
Norway,17
Pakistan,18
Palau,4
Palestine,40
Panama,147
Papua New Guinea,825
Paraguay,4
Peru,2866
Philippines,100
Poland,3
Portugal,14
Puerto Rico,2
Republic of the Congo,41
Romania,1
Russia,83
Rwanda,7
Samoa,9
Saudi Arabia,80
Scandinavia,4
Scotland,14
Senegal,22
Serbia,3
Sierra Leone,29
Slovakia,26
Slovenia,2
Solomon Islands,66
Somalia,3
South Africa,53
South Sudan,1
Spain,313
Sri Lanka,4
Sudan,158
Suriname,9
Swaziland,3
Sweden,9
Switzerland,63
Syria,435
Taiwan,7
Tajikistan,2
Tanzania,37
Thailand,59
Tibet,30
Timor-Leste,5
Togo,31
Tonga,10
Tunisia,23
Turkey,392
Turkmenistan,8
Uganda,15
Ukraine,4
United Kingdom,172
United States,8409
Uruguay,1
Uzbekistan,111
Vanuatu,54
Venezuela,6
Vietnam,4
Wales,3
Western Europe,1
Yemen,3
Yugoslavia,4
Zambia,7
Zimbabwe,11
