,Countries_Regions,Count
1,Afghanistan,56
2,Africa,113
3,Albania,91
4,Algeria,27
5,Ambrym,1
6,Angola,1
7,Arabia,80
8,Argentina,15
9,Armenia,83
10,Asia,5
11,Australia,8
12,Austria,984
13,Bahamas,2
14,Balkans,29
15,Bangladesh,96
16,Barbados,1
17,Belgium,1585
18,Benin,12
19,Bhutan,29
20,Bolivia,14
21,Borneo,57
22,Bosnia,5
23,Brazil,17
24,Bulgaria,26
25,Burkina Faso,5
26,Cambodia,197
27,Cameroon,47
28,Canada,81
29,Caucasus,52
30,Central Africa,39
31,Central America,4
32,Central Asia,369
33,Central Europe,49
34,Chile,4
35,china,1
36,China,15459
37,Chinese,1
38,Colombia,25
39,Costa Rica,7
40,Cote d'Ivoire,23
41,Croatia,21
42,Cuba,14
43,Cyprus,3328
44,Czech Republic,313
45,Democratic Republic of Congo,53
46,Democratic Republic of the Congo,17
47,Denmark,154
48,East Africa,7
49,Eastern Europe,175
50,Eastern Mediterraean,231
51,Eastern Mediterranean,35
52,Ecuador,11
53,Egypt,1207
54,El Salvador,1
55,England,59
56,English,1
57,Equatorial Guinea,4
58,Eritrea,2
59,Estonia,3
60,Ethiopia,8
61,Eurasia,4
62,Europe,5763
63,Federated States of Micronesia,7
64,Fiji,6
65,Finland,5
66,France,23966
67,French,318
68,French Polynesia,9
69,Gabon,2
70,Georgia,8
71,German,1
72,Germany,8302
73,Ghana,12
74,Greece,22600
75,Guanacaste-Nicoya,1
76,Guatemala,19
77,Guinea,2
78,Guinea-Bissau,3
79,Guyana,3
80,Honduras,1
81,Hungary,300
82,India,2509
83,Indonesia,1741
84,Iran,2972
85,Iraq,1095
86,Ireland,540
87,Israel,54
88,Italy,20480
89,"Italy, South Gaulish",1
90,Italyia,67
91,Jamaica,4
92,Japan,22741
93,Jordan,20
94,Kazakhstan,11
95,Kenya,5
96,Korea,566
97,Korea or  Japan,2
98,Korean,36
99,Laos,7
100,Latin America,1
101,Latvia,5
102,Lebanon,102
103,Levant,254
104,Liberia,5
105,Lithuania,1
106,Madagascar,2
107,Malaysia,76
108,Mali,29
109,Malta,16
110,Marshall Islands,2
111,Mediterranean,2
112,Melanesian,4
113,Mesoamerica,3
114,Mexico,348
115,Middle East,543
116,Middle Eastern,4
117,Moldova,1
118,Mongolia,89
119,Montenegro,63
120,Morocco,78
121,Myanmar,124
122,Nauru,2
123,Nepal,244
124,Netherlands,2132
125,New Caledonia,3
126,New Zealand,31
127,Niger,1
128,Nigeria,42
129,North Africa,31
130,North America,6
131,North Asia,1
132,Northern Africa,2
133,Northern Europe,47
134,Norway,71
135,Oceania,18
136,Pakistan,443
137,Palestine,27
138,Panama,13
139,Papua New Guinea,63
140,Paraguay,11
141,Peru,665
142,Philippines,251
143,Phillipines,2
144,Poland,152
145,Polynesia,1
146,Portugal,187
147,Puerto Rico,1
148,Romania,3
149,Russia,1178
150,Rwanda,1
151,Samoa,4
152,Saudi Arabia,2
153,Scandinavia,32
154,Scandinavian,1
155,Scotland,20
156,Senegal,1
157,Serbia,8
158,Sierra Leone,6
159,Slovakia,96
160,Slovenia,1
161,Solomon Islands,3
162,South Africa,1
163,South America,14
164,South Asia,2
165,South Sudan,2
166,Southeast Asia,6
167,Southern Africa,9
168,Southern Europe,1
169,Spain,2366
170,Span,1
171,Sri Lanka,113
172,Sudan,11
173,Sweden,185
174,Switzerland,777
175,Syria,241
176,Taiwan,10
177,Tanzania,4
178,Thailand,598
179,Tibet,531
180,"Tibetan,  Bhutanese or Nepalese",1
181,Timor-Leste,1
182,Togo,1
183,Tonga,1
184,Tunisia,41
185,Turkestan,22
186,Turkey,1501
187,Turkmenistan,2
188,Uganda,7
189,Ukraine,21
190,United Kingdom,10644
191,United States,23695
192,Uruguay,3
193,Uzbekistan,3
194,Vanuatu,13
195,Venezuela,1
196,Vietnam,187
197,Vietnma,1
198,Wales,1
199,West Africa,66
200,West Europe,1
201,Western Africa,3
202,Western Asia,473
203,Western Central Asia,1
204,Western Europe,719
205,Zambia,1
